fullyQualifiedClassName,baselineFlag,sonarFlag,jdeodorantFlag,methodCount,fieldCount,dependencyTypeCount,k1,k2,k3,k4,comment,finalLabel
org.apache.commons.lang3.BitField,false,false,true,0,0,0,,,,,,
org.apache.commons.lang3.Strings,true,false,false,92,74,60,,,,,,
org.apache.commons.lang3.SystemProperties,true,false,false,396,201,260,,,,,,
org.apache.commons.lang3.arch.Processor,true,false,true,16,9,33,,,,,,
org.apache.commons.lang3.builder.CompareToBuilder,false,false,true,0,0,0,,,,,,
org.apache.commons.lang3.builder.EqualsBuilder,false,false,true,0,0,0,,,,,,
org.apache.commons.lang3.builder.HashCodeBuilder,false,false,true,0,0,0,,,,,,
org.apache.commons.lang3.builder.ReflectionToStringBuilder,false,false,true,0,0,0,,,,,,
org.apache.commons.lang3.builder.ToStringStyle,false,false,true,0,0,0,,,,,,
org.apache.commons.lang3.compare.ComparableUtils.ComparableCheckBuilder,false,false,true,0,0,0,,,,,,
org.apache.commons.lang3.concurrent.BasicThreadFactory,false,false,true,0,0,0,,,,,,
org.apache.commons.lang3.concurrent.BasicThreadFactory.Builder,false,false,true,0,0,0,,,,,,
org.apache.commons.lang3.concurrent.MultiBackgroundInitializer.MultiBackgroundInitializerResults,false,false,true,0,0,0,,,,,,
org.apache.commons.lang3.concurrent.TimedSemaphore,false,false,true,0,0,0,,,,,,
org.apache.commons.lang3.math.NumberUtils,true,false,false,191,186,101,,,,,,
org.apache.commons.lang3.text.StrSubstitutor,false,false,true,0,0,0,,,,,,
org.apache.commons.lang3.text.StrTokenizer,false,false,true,0,0,0,,,,,,
org.apache.commons.lang3.text.implemented,true,false,false,467,230,97,,,,,,
org.apache.commons.lang3.time.CalendarUtils,true,false,true,23,7,27,,,,,,
org.apache.commons.lang3.time.FastDateParser,false,false,true,0,0,0,,,,,,
org.apache.commons.lang3.time.StopWatch,false,false,true,0,0,0,,,,,,
org.apache.commons.lang3.time.is,true,false,false,100,45,68,,,,,,
