fullyQualifiedClassName,baselineFlag,sonarFlag,jdeodorantFlag,wmc,tcc,atfd,cbo,loc,godClass,usedCboFallback,methodCount,fieldCount,dependencyTypeCount,reasons
org.apache.commons.lang3.ArchUtils,true,false,false,,,,,,false,false,25,2,28,DEPENDENCY_TYPES>5
org.apache.commons.lang3.ArrayFill,true,false,false,,,,,,false,false,20,10,9,DEPENDENCY_TYPES>5
org.apache.commons.lang3.ArraySorter,true,false,false,,,,,,false,false,18,9,7,DEPENDENCY_TYPES>5
org.apache.commons.lang3.BitField,false,false,true,,,,,,false,false,0,0,0,
org.apache.commons.lang3.CachedRandomBits,true,false,false,,,,,,false,false,7,14,32,DEPENDENCY_TYPES>5
org.apache.commons.lang3.CharRange,true,false,false,,,,,,false,false,36,35,30,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.apache.commons.lang3.CharSequenceUtils,true,false,false,,,,,,false,false,56,59,39,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.apache.commons.lang3.CharSet,true,false,false,,,,,,false,false,14,19,45,DEPENDENCY_TYPES>5
org.apache.commons.lang3.ClassLoaderUtils,true,false,false,,,,,,false,false,6,1,15,DEPENDENCY_TYPES>5
org.apache.commons.lang3.Conversion,true,false,false,,,,,,false,false,169,171,41,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.apache.commons.lang3.EnumUtils,true,false,false,,,,,,false,false,34,23,40,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.apache.commons.lang3.JavaVersion,true,false,false,,,,,,false,false,13,42,50,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.apache.commons.lang3.Range,true,false,false,,,,,,false,false,45,32,36,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.apache.commons.lang3.RegExUtils,true,false,false,,,,,,false,false,31,3,40,DEPENDENCY_TYPES>5
org.apache.commons.lang3.RuntimeEnvironment,true,false,false,,,,,,false,false,6,6,26,DEPENDENCY_TYPES>5
org.apache.commons.lang3.SerializationException,true,false,false,,,,,,false,false,3,1,7,DEPENDENCY_TYPES>5
org.apache.commons.lang3.Streams,true,false,false,,,,,,false,false,32,10,54,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.apache.commons.lang3.StringEscapeUtils,true,false,false,,,,,,false,false,20,25,112,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.apache.commons.lang3.Strings,true,false,false,,,,,,false,false,92,74,60,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.apache.commons.lang3.SystemProperties,true,false,false,,,,,,false,false,396,201,260,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.apache.commons.lang3.ThreadUtils,true,false,false,,,,,,false,false,39,23,46,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.apache.commons.lang3.arch.Processor,true,false,true,,,,,,false,false,16,9,33,DEPENDENCY_TYPES>5
org.apache.commons.lang3.assists,true,false,false,,,,,,false,false,0,0,6,DEPENDENCY_TYPES>5
org.apache.commons.lang3.builder.CompareToBuilder,false,false,true,,,,,,false,false,0,0,0,
org.apache.commons.lang3.builder.DiffResult,true,false,false,,,,,,false,false,9,10,31,DEPENDENCY_TYPES>5
org.apache.commons.lang3.builder.EqualsBuilder,false,false,true,,,,,,false,false,0,0,0,
org.apache.commons.lang3.builder.HashCodeBuilder,false,false,true,,,,,,false,false,0,0,0,
org.apache.commons.lang3.builder.IDKey,true,false,false,,,,,,false,false,3,7,11,DEPENDENCY_TYPES>5
org.apache.commons.lang3.builder.Person,true,false,false,,,,,,false,false,0,0,14,DEPENDENCY_TYPES>5
org.apache.commons.lang3.builder.Reflection,true,false,false,,,,,,false,false,2,0,7,DEPENDENCY_TYPES>5
org.apache.commons.lang3.builder.ReflectionToStringBuilder,false,false,true,,,,,,false,false,0,0,0,
org.apache.commons.lang3.builder.ToStringStyle,false,false,true,,,,,,false,false,0,0,0,
org.apache.commons.lang3.builder.enables,true,false,false,,,,,,false,false,0,0,9,DEPENDENCY_TYPES>5
org.apache.commons.lang3.builder.is,true,false,false,,,,,,false,false,41,1,11,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.apache.commons.lang3.builder.provides,true,false,false,,,,,,false,false,0,0,8,DEPENDENCY_TYPES>5
org.apache.commons.lang3.builder.uses,true,false,false,,,,,,false,false,0,0,9,DEPENDENCY_TYPES>5
org.apache.commons.lang3.builder.write,true,false,false,,,,,,false,false,0,0,7,DEPENDENCY_TYPES>5
org.apache.commons.lang3.compare.ComparableUtils,true,false,false,,,,,,false,false,19,1,10,DEPENDENCY_TYPES>5
org.apache.commons.lang3.compare.ComparableUtils.ComparableCheckBuilder,false,false,true,,,,,,false,false,0,0,0,
org.apache.commons.lang3.compare.is,true,false,false,,,,,,false,false,8,4,13,DEPENDENCY_TYPES>5
org.apache.commons.lang3.concurrent.AbstractConcurrentInitializer,true,false,false,,,,,,false,false,9,8,32,DEPENDENCY_TYPES>5
org.apache.commons.lang3.concurrent.AbstractFutureProxy,true,false,false,,,,,,false,false,4,2,9,DEPENDENCY_TYPES>5
org.apache.commons.lang3.concurrent.BasicThreadFactory,false,false,true,,,,,,false,false,0,0,0,
org.apache.commons.lang3.concurrent.BasicThreadFactory.Builder,false,false,true,,,,,,false,false,0,0,0,
org.apache.commons.lang3.concurrent.MultiBackgroundInitializer.MultiBackgroundInitializerResults,false,false,true,,,,,,false,false,0,0,0,
org.apache.commons.lang3.concurrent.ThresholdCircuitBreaker,true,false,false,,,,,,false,false,9,5,9,DEPENDENCY_TYPES>5
org.apache.commons.lang3.concurrent.TimedSemaphore,false,false,true,,,,,,false,false,0,0,0,
org.apache.commons.lang3.concurrent.UncheckedFuture,true,false,false,,,,,,false,false,5,0,18,DEPENDENCY_TYPES>5
org.apache.commons.lang3.concurrent.UncheckedFutureImpl,true,false,false,,,,,,false,false,8,0,10,DEPENDENCY_TYPES>5
org.apache.commons.lang3.concurrent.describing,true,false,false,,,,,,false,false,6,0,10,DEPENDENCY_TYPES>5
org.apache.commons.lang3.concurrent.for,true,false,false,,,,,,false,false,16,7,21,DEPENDENCY_TYPES>5
org.apache.commons.lang3.concurrent.has,true,false,false,,,,,,false,false,0,0,8,DEPENDENCY_TYPES>5
org.apache.commons.lang3.concurrent.is,true,false,false,,,,,,false,false,0,0,7,DEPENDENCY_TYPES>5
org.apache.commons.lang3.concurrent.locks.with,true,false,false,,,,,,false,false,0,0,12,DEPENDENCY_TYPES>5
org.apache.commons.lang3.concurrent.providing,true,false,false,,,,,,false,false,0,0,6,DEPENDENCY_TYPES>5
org.apache.commons.lang3.concurrent.supports,true,false,false,,,,,,false,false,0,0,6,DEPENDENCY_TYPES>5
org.apache.commons.lang3.concurrent.that,true,false,false,,,,,,false,false,0,0,8,DEPENDENCY_TYPES>5
org.apache.commons.lang3.defines,true,false,false,,,,,,false,false,0,0,17,DEPENDENCY_TYPES>5
org.apache.commons.lang3.event.EventUtils,true,false,false,,,,,,false,false,5,5,28,DEPENDENCY_TYPES>5
org.apache.commons.lang3.event.provides,true,false,false,,,,,,false,false,0,0,13,DEPENDENCY_TYPES>5
org.apache.commons.lang3.exception.DefaultExceptionContext,true,false,false,,,,,,false,false,11,8,19,DEPENDENCY_TYPES>5
org.apache.commons.lang3.exception.ExceptionContext,true,false,false,,,,,,false,false,7,0,8,DEPENDENCY_TYPES>5
org.apache.commons.lang3.exception.ExceptionUtils,true,false,false,,,,,,false,false,82,54,87,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.apache.commons.lang3.function.Consumers,true,false,false,,,,,,false,false,3,2,8,DEPENDENCY_TYPES>5
org.apache.commons.lang3.function.Functions,true,false,false,,,,,,false,false,5,1,14,DEPENDENCY_TYPES>5
org.apache.commons.lang3.function.MethodInvokers,true,false,false,,,,,,false,false,21,0,26,DEPENDENCY_TYPES>5
org.apache.commons.lang3.function.Predicates,true,false,false,,,,,,false,false,2,2,6,DEPENDENCY_TYPES>5
org.apache.commons.lang3.function.Suppliers,true,false,false,,,,,,false,false,2,3,13,DEPENDENCY_TYPES>5
org.apache.commons.lang3.function.TriConsumer,true,false,false,,,,,,false,false,3,0,6,DEPENDENCY_TYPES>5
org.apache.commons.lang3.function.TriFunction,true,false,false,,,,,,false,false,2,0,6,DEPENDENCY_TYPES>5
org.apache.commons.lang3.function.provides,true,false,false,,,,,,false,false,0,0,17,DEPENDENCY_TYPES>5
org.apache.commons.lang3.handles,true,false,false,,,,,,false,false,0,0,15,DEPENDENCY_TYPES>5
org.apache.commons.lang3.is,true,false,false,,,,,,false,false,25,15,27,DEPENDENCY_TYPES>5
org.apache.commons.lang3.math.IEEE754rUtils,true,false,false,,,,,,false,false,16,20,15,DEPENDENCY_TYPES>5
org.apache.commons.lang3.math.NumberUtils,true,false,false,,,,,,false,false,191,186,101,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.apache.commons.lang3.mutable.to,true,false,false,,,,,,false,false,4,0,8,DEPENDENCY_TYPES>5
org.apache.commons.lang3.provides,true,false,false,,,,,,false,false,0,0,18,DEPENDENCY_TYPES>5
org.apache.commons.lang3.reflect.ConstructorUtils,true,false,false,,,,,,false,false,9,16,33,DEPENDENCY_TYPES>5
org.apache.commons.lang3.reflect.FieldUtils,true,false,false,,,,,,false,false,38,30,52,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.apache.commons.lang3.reflect.InheritanceUtils,true,false,false,,,,,,false,false,3,3,10,DEPENDENCY_TYPES>5
org.apache.commons.lang3.reflect.MemberUtils,true,false,false,,,,,,false,false,35,44,40,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.apache.commons.lang3.reflect.MethodUtils,true,false,false,,,,,,false,false,49,106,92,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.apache.commons.lang3.reflect.TypeUtils,true,false,false,,,,,,false,false,210,218,101,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.apache.commons.lang3.stream.IntStreams,true,false,false,,,,,,false,false,3,1,8,DEPENDENCY_TYPES>5
org.apache.commons.lang3.stream.Streams,true,false,false,,,,,,false,false,57,18,78,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.apache.commons.lang3.stream.is,true,false,false,,,,,,false,false,0,0,14,DEPENDENCY_TYPES>5
org.apache.commons.lang3.text.CompositeFormat,true,false,false,,,,,,false,false,4,3,14,DEPENDENCY_TYPES>5
org.apache.commons.lang3.text.FormatFactory,true,false,false,,,,,,false,false,1,0,7,DEPENDENCY_TYPES>5
org.apache.commons.lang3.text.StrSubstitutor,false,false,true,,,,,,false,false,0,0,0,
org.apache.commons.lang3.text.StrTokenizer,false,false,true,,,,,,false,false,0,0,0,
org.apache.commons.lang3.text.can,true,false,false,,,,,,false,false,0,0,9,DEPENDENCY_TYPES>5
org.apache.commons.lang3.text.implemented,true,false,false,,,,,,false,false,467,230,97,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.apache.commons.lang3.text.provides,true,false,false,,,,,,false,false,0,0,6,DEPENDENCY_TYPES>5
org.apache.commons.lang3.text.represents,true,false,false,,,,,,false,false,9,6,23,DEPENDENCY_TYPES>5
org.apache.commons.lang3.text.takes,true,false,false,,,,,,false,false,0,0,8,DEPENDENCY_TYPES>5
org.apache.commons.lang3.text.that,true,false,false,,,,,,false,false,36,28,35,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.apache.commons.lang3.text.to,true,false,false,,,,,,false,false,0,0,12,DEPENDENCY_TYPES>5
org.apache.commons.lang3.text.translate.AggregateTranslator,true,false,false,,,,,,false,false,2,3,9,DEPENDENCY_TYPES>5
org.apache.commons.lang3.text.translate.CharSequenceTranslator,true,false,false,,,,,,false,false,10,11,23,DEPENDENCY_TYPES>5
org.apache.commons.lang3.text.translate.CodePointTranslator,true,false,false,,,,,,false,false,0,2,7,DEPENDENCY_TYPES>5
org.apache.commons.lang3.text.translate.EntityArrays,true,false,false,,,,,,false,false,12,12,129,DEPENDENCY_TYPES>5
org.apache.commons.lang3.text.translate.JavaUnicodeEscaper,true,false,false,,,,,,false,false,8,1,8,DEPENDENCY_TYPES>5
org.apache.commons.lang3.text.translate.LookupTranslator,true,false,false,,,,,,false,false,6,16,13,DEPENDENCY_TYPES>5
org.apache.commons.lang3.text.translate.NumericEntityEscaper,true,false,false,,,,,,false,false,9,6,7,DEPENDENCY_TYPES>5
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,true,false,false,,,,,,false,false,8,12,31,DEPENDENCY_TYPES>5
