fullyQualifiedClassName,baselineFlag,sonarFlag,jdeodorantFlag,methodCount,fieldCount,dependencyTypeCount,k1,k2,k3,k4,comment,finalLabel
org.jfree.chart.JFreeChart,false,true,true,0,0,0,,,,,,
org.jfree.chart.StandardChartTheme,true,true,true,168,144,99,,,,,,
org.jfree.chart.annotations.AbstractAnnotation,true,false,true,12,6,25,,,,,,
org.jfree.chart.axis.Axis,false,false,true,0,0,0,,,,,,
org.jfree.chart.axis.CategoryAxis,true,false,true,112,196,88,,,,,,
org.jfree.chart.axis.CyclicNumberAxis,false,false,true,0,0,0,,,,,,
org.jfree.chart.axis.DateTickUnit,false,false,true,0,0,0,,,,,,
org.jfree.chart.axis.LogAxis,false,false,true,0,0,0,,,,,,
org.jfree.chart.axis.LogarithmicAxis,true,false,true,88,182,49,,,,,,
org.jfree.chart.axis.PeriodAxis,true,false,true,92,168,77,,,,,,
org.jfree.chart.axis.SubCategoryAxis,true,false,true,26,72,48,,,,,,
org.jfree.chart.axis.ValueAxis,false,false,true,0,0,0,,,,,,
org.jfree.chart.entity.ChartEntity,false,false,true,0,0,0,,,,,,
org.jfree.chart.legend.LegendGraphic,true,false,true,68,68,53,,,,,,
org.jfree.chart.legend.LegendItem,true,false,false,64,81,44,,,,,,
org.jfree.chart.legend.PaintScaleLegend,true,false,true,64,63,60,,,,,,
org.jfree.chart.plot.Crosshair,false,false,true,0,0,0,,,,,,
org.jfree.chart.plot.FastScatterPlot,true,false,true,91,94,72,,,,,,
org.jfree.chart.plot.Marker,false,false,true,0,0,0,,,,,,
org.jfree.chart.plot.MeterPlot,true,false,true,129,144,96,,,,,,
org.jfree.chart.plot.Plot,false,false,true,0,0,0,,,,,,
org.jfree.chart.plot.PolarPlot,true,false,true,221,208,153,,,,,,
org.jfree.chart.plot.RingPlot,true,false,true,57,69,67,,,,,,
org.jfree.chart.plot.SpiderWebPlot,true,false,true,128,169,109,,,,,,
org.jfree.chart.plot.ThermometerPlot,true,false,true,142,158,113,,,,,,
org.jfree.chart.plot.compass.CompassPlot,true,false,true,74,101,83,,,,,,
org.jfree.chart.plot.compass.MeterNeedle,false,false,true,0,0,0,,,,,,
org.jfree.chart.plot.dial.ArcDialFrame,true,false,true,30,52,39,,,,,,
org.jfree.chart.plot.dial.DialCap,true,false,true,16,20,36,,,,,,
