fullyQualifiedClassName,baselineFlag,sonarFlag,jdeodorantFlag,wmc,tcc,atfd,cbo,loc,godClass,usedCboFallback,methodCount,fieldCount,dependencyTypeCount,reasons
org.jfree.chart.ChartColor,true,false,false,,,,,,false,false,7,27,43,DEPENDENCY_TYPES>5
org.jfree.chart.ChartFactory,true,false,false,,,,,,false,false,136,223,131,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.ChartHints,true,false,false,,,,,,false,false,4,4,14,DEPENDENCY_TYPES>5
org.jfree.chart.ChartUtils,true,false,false,,,,,,false,false,17,22,45,DEPENDENCY_TYPES>5
org.jfree.chart.JFreeChart,false,true,true,,,,,,false,false,0,0,0,
org.jfree.chart.StandardChartTheme,true,true,true,,,,,,false,false,168,144,99,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.annotations.AbstractAnnotation,true,false,true,,,,,,false,false,12,6,25,DEPENDENCY_TYPES>5
org.jfree.chart.annotations.CategoryLineAnnotation,true,false,false,,,,,,false,false,24,46,43,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.annotations.CategoryPointerAnnotation,true,false,false,,,,,,false,false,36,68,49,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.annotations.CategoryTextAnnotation,true,false,false,,,,,,false,false,16,30,30,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.annotations.XYBoxAnnotation,true,false,false,,,,,,false,false,16,48,35,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.annotations.XYDataImageAnnotation,true,false,false,,,,,,false,false,24,40,33,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.annotations.XYDrawableAnnotation,true,false,false,,,,,,false,false,18,44,23,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.annotations.XYImageAnnotation,true,false,false,,,,,,false,false,14,35,34,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.annotations.XYPointerAnnotation,true,false,false,,,,,,false,false,38,66,47,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.annotations.XYPolygonAnnotation,true,false,false,,,,,,false,false,20,31,39,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.annotations.XYShapeAnnotation,true,false,false,,,,,,false,false,11,43,39,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.annotations.XYTextAnnotation,true,false,false,,,,,,false,false,50,57,48,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.annotations.XYTitleAnnotation,true,false,false,,,,,,false,false,33,64,39,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.annotations.are,true,false,false,,,,,,false,false,20,54,42,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.annotations.for,true,false,false,,,,,,false,false,23,31,33,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.annotations.that,true,false,false,,,,,,false,false,0,0,9,DEPENDENCY_TYPES>5
org.jfree.chart.api.HorizontalAlignment,true,false,false,,,,,,false,false,0,0,6,DEPENDENCY_TYPES>5
org.jfree.chart.api.RectangleAlignment,true,false,false,,,,,,false,false,3,43,19,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.api.RectangleAnchor,true,false,false,,,,,,false,false,4,36,21,DEPENDENCY_TYPES>5
org.jfree.chart.api.RectangleEdge,true,false,false,,,,,,false,false,8,2,11,DEPENDENCY_TYPES>5
org.jfree.chart.api.Rotation,true,false,false,,,,,,false,false,2,1,6,DEPENDENCY_TYPES>5
org.jfree.chart.api.VerticalAlignment,true,false,false,,,,,,false,false,0,0,6,DEPENDENCY_TYPES>5
org.jfree.chart.api.is,true,false,false,,,,,,false,false,55,90,24,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.axis.Axis,false,false,true,,,,,,false,false,0,0,0,
org.jfree.chart.axis.AxisLocation,true,false,false,,,,,,false,false,5,1,9,DEPENDENCY_TYPES>5
org.jfree.chart.axis.AxisSpace,true,false,false,,,,,,false,false,41,33,28,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.axis.CategoryAnchor,true,false,false,,,,,,false,false,0,0,6,DEPENDENCY_TYPES>5
org.jfree.chart.axis.CategoryAxis,true,false,true,,,,,,false,false,112,196,88,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.axis.CategoryLabelPositions,true,false,false,,,,,,false,false,14,30,35,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.axis.CategoryTick,true,false,false,,,,,,false,false,7,15,11,DEPENDENCY_TYPES>5
org.jfree.chart.axis.CompassFormat,true,false,false,,,,,,false,false,10,5,19,DEPENDENCY_TYPES>5
org.jfree.chart.axis.CyclicNumberAxis,false,false,true,,,,,,false,false,0,0,0,
org.jfree.chart.axis.DateTick,true,false,false,,,,,,false,false,5,5,11,DEPENDENCY_TYPES>5
org.jfree.chart.axis.DateTickMarkPosition,true,false,false,,,,,,false,false,0,0,6,DEPENDENCY_TYPES>5
org.jfree.chart.axis.DateTickUnit,false,false,true,,,,,,false,false,0,0,0,
org.jfree.chart.axis.DateTickUnitType,true,false,false,,,,,,false,false,2,1,21,DEPENDENCY_TYPES>5
org.jfree.chart.axis.LogAxis,false,false,true,,,,,,false,false,0,0,0,
org.jfree.chart.axis.LogTick,true,false,false,,,,,,false,false,2,1,6,DEPENDENCY_TYPES>5
org.jfree.chart.axis.LogarithmicAxis,true,false,true,,,,,,false,false,88,182,49,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
