fullyQualifiedClassName,baselineFlag,sonarFlag,jdeodorantFlag,methodCount,fieldCount,dependencyTypeCount,k1,k2,k3,k4,comment,finalLabel
org.joda.time.DateTimeZone,true,false,false,146,152,207,,,,,,
org.joda.time.IllegalFieldValueException,true,false,true,18,88,12,,,,,,
org.joda.time.PeriodType,true,false,true,88,135,61,,,,,,
org.joda.time.chrono.BasicChronology,true,false,true,79,107,69,,,,,,
org.joda.time.chrono.GJLocaleSymbols,false,false,true,0,0,0,,,,,,
org.joda.time.chrono.LimitChronology,true,false,false,116,85,36,,,,,,
org.joda.time.chrono.ZonedChronology.ZonedDurationField,false,false,true,0,0,0,,,,,,
org.joda.time.convert.ConverterManager,false,false,true,0,0,0,,,,,,
org.joda.time.convert.ConverterSet,false,false,true,0,0,0,,,,,,
org.joda.time.field.should,true,false,false,104,64,47,,,,,,
org.joda.time.format.DateTimeFormatterBuilder,true,false,true,359,370,139,,,,,,
org.joda.time.format.DateTimeFormatterBuilder.Fraction,false,false,true,0,0,0,,,,,,
org.joda.time.format.DateTimeFormatterBuilder.TwoDigitYear,false,false,true,0,0,0,,,,,,
org.joda.time.format.DateTimeParserBucket,false,false,true,0,0,0,,,,,,
org.joda.time.format.ISODateTimeFormat,true,false,false,209,153,67,,,,,,
org.joda.time.format.PeriodFormatterBuilder,true,false,true,285,376,127,,,,,,
org.joda.time.tz.DateTimeZoneBuilder,true,false,false,216,392,132,,,,,,
org.joda.time.tz.DateTimeZoneBuilder.RuleSet,false,false,true,0,0,0,,,,,,
org.joda.time.tz.ZoneInfoProvider,true,false,true,30,40,43,,,,,,
