fullyQualifiedClassName,baselineFlag,sonarFlag,jdeodorantFlag,wmc,tcc,atfd,cbo,loc,godClass,usedCboFallback,methodCount,fieldCount,dependencyTypeCount,reasons
org.joda.time.DateTimeComparator,true,false,false,,,,,,false,false,22,28,25,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.DateTimeUtils,true,false,false,,,,,,false,false,60,42,112,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.DateTimeZone,true,false,false,,,,,,false,false,146,152,207,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.Days,true,false,false,,,,,,false,false,38,34,66,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.Duration,true,false,false,,,,,,false,false,47,23,39,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.Hours,true,false,false,,,,,,false,false,38,36,68,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.IllegalFieldValueException,true,false,true,,,,,,false,false,18,88,12,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.IllegalInstantException,true,false,false,,,,,,false,false,4,5,11,DEPENDENCY_TYPES>5
org.joda.time.Interval,true,false,false,,,,,,false,false,41,47,46,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.Minutes,true,false,false,,,,,,false,false,38,26,63,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.Months,true,false,false,,,,,,false,false,31,42,53,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.MutableInterval,true,false,false,,,,,,false,false,34,12,28,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.MutablePeriod,true,false,false,,,,,,false,false,82,8,56,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.Partial,true,false,false,,,,,,false,false,99,118,61,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.Period,true,false,false,,,,,,false,false,128,80,118,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.PeriodType,true,false,true,,,,,,false,false,88,135,61,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.ReadablePartial,true,false,false,,,,,,false,false,11,0,22,DEPENDENCY_TYPES>5
org.joda.time.Seconds,true,false,false,,,,,,false,false,38,26,63,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.UTCDateTimeZone,true,false,false,,,,,,false,false,11,5,6,DEPENDENCY_TYPES>5
org.joda.time.Weeks,true,false,false,,,,,,false,false,38,26,62,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.Years,true,false,false,,,,,,false,false,31,24,43,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.base.has,true,false,false,,,,,,false,false,0,0,15,DEPENDENCY_TYPES>5
org.joda.time.base.should,true,false,false,,,,,,false,false,0,0,8,DEPENDENCY_TYPES>5
