nr,project,fullyQualifiedClassName,methodCount,fieldCount,dependencyTypeCount,k1_reviewer2,k2_reviewer2,k3_reviewer2,k4_reviewer2,comment_reviewer2,finalLabel_reviewer2
1,jfreechart,org.jfree.chart.renderer.xy.XYLineAndShapeRenderer,91,126,61,true,false,true,false,"XYLineAndShapeRenderer: Groß (91 Methoden, 126 Felder), aber als Renderer-Klasse auf ein Konzept fokussiert. Viele Getter/Setter für Rendering-Konfiguration. Kopplung durch Rendering-Abhängigkeiten, aber Kohäsion innerhalb der Rendering-Aufgabe gegeben. Aufteilung nicht offensichtlich sinnvoll.",UNCERTAIN
2,joda-time,org.joda.time.chrono.GJLocaleSymbols,0,0,0,false,false,false,false,"GJLocaleSymbols: Metriken=0, vermutlich kleine innere/package-private Klasse für Locale-Daten (Monats-/Tagesnamen). Kein God-Class-Muster.",NO
3,jfreechart,org.jfree.chart.renderer.xy.XYShapeRenderer,47,49,55,false,false,true,false,"XYShapeRenderer: Moderate Größe (47 Methoden). Fokussiert auf Shape-Rendering für XY-Plots. Externe Abhängigkeiten (55) durch Rendering-Framework, aber inhaltlich kohärent.",NO
4,jfreechart,org.jfree.chart.plot.dial.DialPlot,76,71,46,false,true,false,true,"DialPlot: Moderate Größe (76 Methoden). Verwaltet mehrere Aspekte (Dial-Layers, Scales, Datasets, Pointer). Mehrere Verantwortlichkeiten erkennbar → niedrige Kohäsion. Aufteilung in DialPlotLayout + DialPlotRenderer denkbar. Grenzfall.",UNCERTAIN
5,commons-lang,org.apache.commons.lang3.SystemProperties,396,201,260,true,false,false,false,"SystemProperties: Riesig (396 Methoden, 201 Felder, 260 deps), aber reiner Konstanten-Container mit statischen getProperty()-Methoden. Keine Logik, keine Kopplung im eigentlichen Sinne. Größe durch Wiederholung, nicht Komplexität. Kein God-Class-Muster.",NO
6,commons-lang,org.apache.commons.lang3.time.DateUtils,141,90,127,true,true,false,true,"DateUtils: Große Utility-Klasse (141 Methoden, 90 Felder, 127 deps). Mehrere trennbare Funktionsgruppen: Date-Parsing, Date-Arithmetik (add/set), Rounding/Truncation, Vergleiche, Fragment-Extraktion. Aufteilung in DateArithmetic + DateParsing + DateRounding sinnvoll. God Class trotz statischem Utility-Charakter.",GOD_CLASS
7,jfreechart,org.jfree.data.statistics.HistogramDataset,47,54,36,false,false,false,false,HistogramDataset: Moderate Größe (47 Methoden). Fokussiert auf Histogram-Bin-Verwaltung und Daten-API. Kohärent.,NO
8,jfreechart,org.jfree.data.general.AbstractDataset,13,7,34,false,false,false,false,"AbstractDataset: Klein (13 Methoden, 7 Felder). Abstrakte Basis für Datasets mit Event/Listener-Management. Klar fokussiert.",NO
9,joda-time,org.joda.time.chrono.ZonedChronology,91,103,38,false,false,false,false,"ZonedChronology: Decorator-Pattern für Zeitzonen. Inner Classes (ZonedDateTimeField, ZonedDurationField) gehören zum Decorator-Muster. Metriken durch Inner Classes aufgebläht, aber Muster ist kohärent.",NO
10,joda-time,org.joda.time.chrono.LimitChronology,116,85,36,false,false,false,false,"LimitChronology: Decorator-Pattern für Zeitgrenzen auf Chronology. Inner classes (LimitDateTimeField, LimitDurationField) sind Teil des Musters. Kohärent.",NO
